rule,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,stats_7,stats_8,,
B568/S23456,0.0148174249,0.0190291014,0.0194195431,0.0088533574,0.0304136615,,0.0393451375,0.0346572466,0.1575925628,0.05991206
B568/S23456,0.0118130115,0.0077856322,0.007363787,0.0033592633,0.027157943,0.0169260475,0.0257231497,0.0058856068,,
B024/S0123,0.0199653333,0.0129202233,0.0170601817,0.009363658,0.0306399113,0.0243407646,0.0138692774,0.018370173,,
B02345/S0234,0.0365905029,0.0210392533,0.0547546185,0.0336087804,0.0622527695,0.0303973359,0.1097206022,0.0594327612,0.1322233796,
B0178/S12,0.0233066883,0.0061878863,0.0223825854,0.0036346687,0.0771938452,0.0212249213,0.0730122869,0.0130507417,,
B014/S12,0.0929353968,0.0416573834,0.0863308264,0.0126229831,0.1269108611,0.0771602609,0.137097651,0.0367015602,,
B01378/S123,0.0670395737,0.0363488244,0.0523393086,0.0306869755,0.1242105712,0.0939057363,0.0941912657,0.0657930816,,
B0137/S14,0.0624450844,0.0482065483,0.0931729251,0.0226648295,0.1253051418,0.0950328511,0.1628042357,0.0389695105,,
B0136/S123,0.2310056349,0.0672848726,0.1410023887,0.0014821114,0,0,0,0,0.1643497334,0.1449671935
B0136/S0,0.0211732453,0.006664259,0.0356277383,0.0082527361,0.015061185,,0.0466476813,0.0129688857,,
B0136/S0,0.0730435187,0.0142912088,0.0929850666,0.0293300509,0.1447112944,0.0113489668,0.1815764944,0.043910394,,
B013478/S013,0.1090273098,0.0514939243,0.0785518233,0.0285454877,0.1625078741,0.0968685672,0.1136596863,0.0488491248,,
B01347/S0134,0.054358037,0.0622740465,0.0766423948,0.0551295255,0.0397040038,,0.1888990863,0.2246958062,,
B01347/S0134,0.054358037,0.0622740465,0.0766423948,0.0551295255,0.0397040038,0.0397040038,0,,,
B01347/S0134,0.0238226774,0.0236329444,0.0306533458,0.0049183847,0.0424227665,0.0194473782,0.0462328805,0.0080921567,,
B01346/S023,0.0611225094,0.0470167552,0.0703600507,0.0311195788,0.1301629458,0.0752290232,0.1388923069,0.0891337331,0.0746744677,
B013/S1236,0.0144191892,0.0346425754,0.0351216809,0.026610446,0.0129661451,,0.0505593935,0.0847476741,0.0746744677,
B013/S1236,0.0102217085,0.017116786,0.0273152797,0.0129462948,0.0299583511,0.0625792481,0.067121372,0.0413744036,,
B01246/S01245,0.085495442,0.0748216186,0.1047835088,0.0449803193,0.1013808886,0.1013808886,,,0.1248109971,0.0530330013
B01246/S01245,0.0403976802,0.0371686842,0.0410295,0.0185212094,0.0815671561,0.112658183,0.0916096471,0.0254148135,,
B01245/S235,0.0980645357,0.0346242521,0.0706149369,0.0095523532,0.1138022962,0.0848583947,0.1135517232,0.0248960965,,
B0124/S025,0.1979878407,0.0856105852,0.1072761969,0.0241741471,0.3926376514,0.1356224623,0.0770182378,0.0187652328,,
B01234678/S0346,0.0408052531,0.0439837535,0.0618484899,0.0147806563,0.0244546677,,0.0864228086,0.0540654466,,
B01234678/S0346,0.0408052531,0.0439837535,0.0618484899,0.0147806563,0.0252493542,0.0252493542,0,,,
B01234678/S0346,0.0590772956,0.0815168695,0.0853458076,0.025377011,0.0844831823,0.0744021926,0.0835354661,0.0552685834,,
B0123467/S012456,0.0327102142,0.0424303573,0.0369208668,0.027274162,0.3960966822,0.0733098726,0.12322645,0.1248858918,,
B0123467/S012456,0.0327102142,0.0424303573,0.0369208668,0.027274162,0.3960966822,0.0733098726,0.12322645,0.1248858918,,
B0123467/S012456,0.0063726801,0.0302852032,0.0654229411,0.022098023,0.0153433435,0.036488149,0.1624136077,0.0469421997,0.1079647713,0.0942954956
B0123458/S12356,0.0372495566,0.0152750705,0.0222956294,0.0162055089,0.0721461175,0.0147987266,0.0355782083,0.020791814,,
B01234578/S1346,0.0823639819,0.0012556642,0.0329365999,0.043427185,0,0,0,0,,
B0123457/S0346,0.0478251781,0.0585755393,0.0641709589,0.0444847159,0.0259505972,,0.1006105771,0.1711992895,,
B0123457/S0346,0.0478251781,0.0585755393,0.0641709589,0.0444847159,0.0135641182,0.0135641182,0,,0.2382608093,0.152768887
B0123457/S0346,0.0330440334,0.0408968913,0.0776235327,0.0203770221,0.1236637488,0.0923682277,0.1968709347,0.0332912486,,
B0123456/S0346,0.0334244105,0.0266589657,0.0298497177,0.0137247348,0.1103858568,0.0820041769,0.101277259,0.0306517796,,
B01234/S012357,0.103375172,0.0807364268,0.0658577971,0.0343002389,0.2204209692,0.2233366902,0.1807219536,0.1019161441,,
B012/S5,0.070417392,0.0504006462,0.0820160558,0.0411208348,0.5819480373,0.1355961148,0.1255011413,0.1886274015,,
B012/S5,0.0649703894,0.0653425455,0.1007865872,0.0663801318,0.1356090864,0.1184653658,0.1848675515,0.0978646907,0.1194134868,0.0274896602
B012/S025,0.2832658579,0.056945109,0.4351794885,0.0643060745,0.8396965298,,0.1076988454,0.0438734559,,
B012/S025,0.2832658579,0.056945109,0.4351794885,0.0643060745,0.6309965298,0.6309965298,,,,
B012/S025,0.0120322106,0.0011527996,0.0407723806,0.006964983,0,0,0,0,,
,,,,,,,,,,
,,,,,,,,,,
B3678/S03468,1.2194931101,7.5748615672,107,0,0,0,,,,
B013678/S034678,0.8136390559,7.2557423186,59,0,0,0,B367S346,,,
B01234/S0146,0.6299201748,5.0395576092,117,0.8796775225,4.3930388513,,,,,
B01346/S12,0.5795666287,4.3668669777,91.5,0.4163870125,4.883597473,61,,,,
B012457/S01235,0.5563639036,3.6911772889,55,0,0,,,,,
B012346/S5,0.3666396095,2.918215992,122,0.8279672707,5.203925587,0,,,,
B013478/S013,0.3026388024,2.8704374942,122,0.2184338641,0.9656044652,0,,,,
B128/S12457,0.0082639484,2.4474997885,104,0,0,0,,,,
B023/S013,0.4273126448,2.3625616946,61.3333333333,0.0168304788,0.3973328539,,,,,
B0123478/S024678,0.2810218966,2.1857917659,122,0.2138936529,1.6034418449,0,,,,
B0123458/S0126,0.0625768748,1.8365875017,122,0.0333670004,2.3820654086,0,,,0.0558829449,0.0357747744
B0137/S1,0.1477925227,1.747187721,122,0.0225889494,0.2829042225,0,,,,
B158/S0234578,0.0184485028,1.7199059139,101,0.0118893729,2.617638336,63,,,,
B0127/S0126,0.0657621117,1.5348926844,100.5,0.0491457507,0.7803803567,43,,,,
B0134/S034,0.0841079519,1.4902514427,122,0.0643882867,2.1099683171,,,,,
B2347/S01234678,0.2458698311,1.392415411,122,0.0465357456,0.3404379783,0,,,,
B012467/S1234,0.0276380871,1.2431524539,47,0,0,0,,,,
B0123457/S015,0.0230067731,1.0194035712,122,0.0192628415,1.0276268168,0,,,,
B1256/S0124678,0.2555449798,0.9029515952,122,0.3005874438,1.7400523325,0,,,,
B568/S1234678,0.4308409147,0.7075023713,81,0,0,0,,,,
B068/S05678,0.1008090109,0.5018806965,97,0.147342411,0.642348993,38,,,,
B03456/S15,0.0008769977,0.4694424659,91.5,7.60628116515146E-005,0.4103811918,61,,,,
B0124/S05,0.0330597389,0.4173852569,122,0.0086273257,0.6130495639,0,,,,
B13458/S14678,0.1062482552,0.2924894636,122,0.0320923413,0.2364828516,0,,,,
